loan_id,accountoriginationyear,activeflag,borrowerincome,creditcardtype,currentcreditlimit,cycleendingbalance,cycleendingretailapr,dayspastdue,monthendclosedrevokedflag,originalcreditlimit,producttype,refreshedcreditscoreprimaryborrower
148,2017,0,130220,1,6390,1540,11.69,0,0,5580,2,742
149,2018,0,6330,1,4100,2810,15.09,12,0,730,2,592
150,2018,0,214090,1,4150,1120,17.49,49,0,1830,2,497
151,2018,0,159890,1,620,350,8.28,0,0,1620,2,693
152,2018,0,285480,2,470,440,22.65,60,0,1640,2,654
153,2018,0,209890,1,2830,2810,11.58,0,0,1160,2,650
154,2018,0,67010,1,2840,480,18.42,0,0,2120,2,557
155,2018,0,102020,2,3090,440,8.08,0,0,2970,2,712
156,2018,0,69610,1,280,280,21.56,146,0,180,2,450
157,2018,0,41150,1,770,300,12.15,0,0,90,2,668
158,2018,0,27560,2,1670,2340,18.62,0,0,450,2,592
159,2018,0,23310,2,1710,810,26.42,0,0,1570,2,620
160,2018,0,139530,1,8010,4540,1.12,0,0,5290,2,730
161,2018,0,294100,1,12820,5140,1.92,0,0,5130,2,788
162,2018,0,23200,1,28620,630,18.4,0,0,5650,1,788
163,2018,0,9220,1,6400,940,14.8,0,0,3820,2,652
164,2018,0,31720,1,1520,820,12.9,0,0,3070,1,666
165,2018,0,104070,1,10830,350,1.07,0,0,8300,2,749
166,2018,0,85160,2,5300,500,25.1,0,0,2640,2,659
167,2018,0,196360,1,6070,360,13.87,0,0,4830,2,848
168,2018,0,138680,1,5240,12100,2.16,0,0,5310,2,677
169,2018,0,85030,1,13980,210,2.61,4,0,11650,2,809
170,2018,0,247150,1,7210,20,1.04,0,0,11100,2,737
171,2018,0,59520,1,8660,2220,29.64,0,0,1340,2,653
172,2018,0,235790,1,2670,500,12.52,0,0,4370,2,717
173,2018,0,101260,1,1220,640,20.68,0,0,1470,2,670
174,2018,0,34130,1,2240,510,7.63,0,0,1290,2,752
175,2019,0,3220,1,5270,2700,24.79,0,0,7750,1,749
176,2019,0,7980,1,2830,250,24.0,0,0,1440,2,687
177,2019,0,98730,1,5110,460,16.37,0,0,910,2,722
178,2019,0,99780,1,10490,500,12.49,0,0,7330,1,833
179,2019,0,62020,1,11650,5040,2.27,0,0,9750,2,800
180,2019,0,142900,2,3540,1060,24.52,0,0,1320,2,727
181,2019,0,77820,1,7470,7340,2.32,0,0,8340,2,712
182,2019,0,1090,1,1300,120,19.54,0,0,2070,2,831
183,2019,0,309530,2,2610,2350,13.79,0,0,900,2,637
184,2019,0,124530,1,20300,5620,2.17,0,0,15690,1,772
185,2019,0,8430,1,19150,3840,1.42,0,0,4160,2,661
186,2019,0,242540,1,5550,970,1.04,0,0,2890,1,846
187,2019,0,25600,1,16170,4780,1.81,0,0,11310,2,704
188,2019,0,108580,1,2030,1150,1.94,0,0,1910,2,581
189,2019,0,54920,1,3700,3610,1.02,0,0,770,2,610
190,2019,0,66930,1,4380,4060,16.03,0,0,8830,2,569
191,2019,0,97170,1,11800,570,10.14,0,0,10420,2,775
192,2019,0,72230,1,5110,10580,0.84,0,0,8870,2,784
193,2019,0,55970,1,530,320,0.95,0,0,400,2,630
194,2019,0,27220,2,940,560,10.83,0,0,510,2,602
195,2019,0,396460,1,18620,430,15.65,0,0,16950,2,847
196,2019,0,25870,1,8090,6760,1.9,0,0,8630,2,772
197,2019,0,43290,1,2420,2300,25.45,0,0,1280,1,728
198,2019,0,43870,1,11160,2320,2.06,0,0,2310,2,735
199,2019,0,149430,1,2390,110,1.18,0,0,13110,1,708
200,2019,0,99070,1,11370,980,2.66,0,0,6060,2,651
