loan_id,accountoriginationyear,activeflag,borrowerincome,creditcardtype,currentcreditlimit,cycleendingbalance,cycleendingretailapr,dayspastdue,monthendclosedrevokedflag,originalcreditlimit,producttype,refreshedcreditscoreprimaryborrower
97,2016,0,39860,1,5560,2740,23.55,6,0,3060,2,666
98,2016,0,124470,2,1570,2770,18.83,0,0,1090,2,639
99,2016,0,64000,1,2860,3730,23.77,0,0,620,2,523
100,2016,0,9010,1,1220,5570,22.21,164,0,1130,2,458
101,2016,0,22300,1,10520,2940,25.88,0,0,1460,2,676
102,2016,0,112360,1,740,1090,23.31,0,0,690,2,662
103,2016,0,68550,1,1190,2690,9.31,0,0,1080,2,675
104,2016,0,8420,1,4450,3250,12.94,0,0,2740,2,665
105,2016,0,60560,2,760,1120,10.55,0,0,480,2,540
106,2016,1,59840,1,1220,480,18.95,63,1,670,2,604
107,2016,0,48500,1,3460,3950,27.66,0,0,3350,2,652
108,2016,0,50700,2,1520,2800,23.33,0,0,1980,2,612
109,2016,0,312840,1,2340,240,20.13,0,0,2090,2,625
110,2016,0,164380,2,2610,1070,28.42,0,0,1370,2,623
111,2016,0,13020,1,1430,2970,22.81,0,0,3480,2,628
112,2016,0,82620,1,15170,10020,15.47,0,0,5000,2,670
113,2016,0,43090,2,1030,130,10.93,0,0,2370,2,698
114,2017,0,7460,1,2180,3230,23.92,28,0,1130,2,567
115,2017,0,120900,2,1190,3170,29.48,0,0,1030,2,634
116,2017,0,69690,1,2400,1960,13.51,0,0,2550,2,620
117,2017,0,33860,1,6990,2140,16.22,0,0,8680,2,653
118,2017,0,4770,1,930,2310,26.78,4,0,650,2,698
119,2017,0,50530,1,4650,2150,17.0,0,0,420,2,565
120,2017,0,3280,2,4240,1530,23.06,0,0,2740,2,684
121,2017,0,62910,1,880,1090,16.97,0,0,300,2,667
122,2017,0,53720,1,5260,4830,18.86,0,0,2880,2,594
123,2017,0,96170,1,5610,920,17.44,0,0,1600,2,683
124,2017,0,89550,2,2120,390,28.95,0,0,1650,2,634
125,2017,0,1260,1,4370,4430,13.84,0,0,3700,2,679
126,2017,1,357080,2,4460,1750,12.55,91,1,460,2,525
127,2017,0,174350,1,800,1760,16.54,0,0,1690,2,645
128,2017,0,26180,1,6800,6210,16.66,0,0,4090,2,693
129,2017,0,31100,1,3030,2820,16.51,0,0,6500,2,693
130,2017,0,96570,1,2520,1020,20.84,0,0,1590,2,661
131,2017,0,141310,2,1310,490,12.08,0,0,440,2,676
132,2018,0,287710,1,730,860,17.35,0,0,810,1,671
133,2018,0,43720,1,3690,1230,21.89,0,0,3770,1,611
134,2018,0,75310,1,2830,1020,12.75,0,0,2420,2,636
135,2018,0,12440,1,10980,2110,20.11,4,0,5230,2,631
136,2018,0,16640,1,540,1960,15.37,0,0,1580,2,488
137,2018,0,132810,1,3200,2110,16.71,0,0,6570,2,641
138,2018,0,67840,2,990,670,19.86,0,0,280,2,612
139,2018,0,216250,2,260,290,17.23,0,0,290,2,551
140,2018,0,56800,1,3220,1220,10.01,0,0,1880,2,643
141,2018,0,59190,1,10250,680,10.58,0,0,20920,2,672
142,2018,0,66040,1,1670,1070,18.37,0,0,170,2,669
143,2018,0,41000,1,5530,2830,24.35,0,0,1630,2,679
144,2018,0,36880,2,1420,750,21.68,0,0,510,2,655
145,2018,0,50220,2,4970,5350,20.23,0,0,490,2,562
146,2018,0,112630,1,3260,1450,8.93,0,0,710,2,495
147,2018,0,134910,2,6560,5350,21.18,0,0,12190,2,571
148,2018,0,214370,1,2410,640,2.48,0,0,4140,2,690
149,2018,0,72600,1,2500,1330,16.33,31,0,1050,2,554
150,2018,0,129470,2,570,170,23.01,0,0,400,2,591
151,2018,0,275720,1,2690,310,14.15,0,0,330,2,685
152,2018,0,175600,1,3880,2610,15.24,0,0,4190,2,684
153,2018,0,6410,1,3760,260,1.42,0,0,690,2,696
154,2018,0,119660,2,880,360,17.42,0,0,1090,2,694
155,2018,0,114790,1,810,1700,0.98,0,0,1390,2,637
156,2018,0,15690,1,10010,390,8.4,0,0,4500,2,630
157,2018,0,133950,1,7210,3120,25.13,0,0,3920,2,670
158,2018,0,108680,1,1710,3010,25.82,0,0,1030,1,695
159,2018,0,21270,1,3110,1080,19.48,0,0,630,2,595
160,2018,0,9730,1,2160,3490,23.59,0,0,460,2,690
161,2018,0,91310,1,18210,8540,26.99,33,0,5770,1,551
162,2018,0,76660,1,370,750,16.04,0,0,200,2,647
163,2018,0,68210,1,2600,730,8.23,6,0,1200,1,634
164,2018,0,83850,2,3580,2030,17.2,0,0,2600,2,631
165,2018,0,73040,1,2020,1190,24.99,0,0,490,2,563
166,2018,0,21190,1,2070,1980,25.65,0,0,1880,1,692
167,2018,0,30330,1,2510,290,16.15,0,0,1050,2,597
168,2018,0,28880,1,4520,1040,2.97,0,0,2440,2,592
169,2018,0,39890,1,4960,90,22.25,0,0,2240,2,677
170,2018,0,60280,1,9850,2490,11.88,0,0,1630,1,697
171,2018,0,90030,1,890,4090,18.43,0,0,1070,2,505
172,2018,0,57990,1,1200,1090,16.29,0,0,810,2,675
173,2018,0,42120,1,6940,2160,25.71,0,0,9650,1,667
174,2019,0,71500,1,1440,1440,16.43,0,0,2430,2,594
175,2019,0,167550,1,1210,90,19.05,0,0,1090,2,648
176,2019,0,76590,1,560,1140,21.01,0,0,1270,2,509
177,2019,0,13500,1,1230,1490,23.44,0,0,1030,2,677
178,2019,0,74260,2,360,410,22.69,2,0,310,2,596
179,2019,0,73540,1,2780,2370,16.41,0,0,1960,1,692
180,2019,0,25370,1,2740,2760,12.44,0,0,1150,1,674
181,2019,0,298140,1,4720,5840,7.01,0,0,4430,2,698
182,2019,0,302180,1,3170,1790,14.0,0,0,2720,2,654
183,2019,0,12130,1,370,1330,21.19,102,0,510,2,450
184,2019,0,94770,1,970,1200,1.4,0,0,530,2,646
185,2019,0,41050,2,730,540,19.37,0,0,340,2,658
186,2019,0,50870,2,2110,7780,25.1,2,0,1800,2,577
187,2019,1,55520,1,2200,520,0.54,29,1,1050,2,655
188,2019,0,167100,1,8360,3210,2.72,0,0,2360,2,602
189,2019,0,12100,1,340,200,2.45,0,0,460,2,691
190,2019,0,26490,1,2420,640,26.19,3,0,6030,1,632
191,2019,0,31230,1,2670,3770,1.25,0,0,1040,2,694
192,2019,0,43350,1,2370,6830,0.37,0,0,1140,2,668
193,2019,0,14940,1,1390,1060,16.93,0,0,3510,1,684
194,2019,0,21510,2,3710,350,14.12,0,0,3720,2,679
195,2019,0,98800,1,4530,4000,1.04,0,0,2930,2,695
196,2019,0,42520,2,540,120,26.1,0,0,230,2,670
197,2019,0,16060,1,1890,500,19.94,0,0,2590,2,606
198,2019,0,80470,1,2470,390,1.9,0,0,2200,2,668
199,2019,0,20960,2,340,170,11.97,0,0,380,2,575
200,2019,0,79350,1,8220,80,3.81,0,0,7230,2,650
